Sent,Recv
113,128
111,179
114,179
114,179
109,179
110,179
113,64
112,83
113,83
111,0
114,8
114,8
113,64
115,0
114,128
111,183
114,0
111,6
115,6
113,6
113,139
112,24
115,166
113,166
112,166
112,88
114,88
114,88
114,88
114,192
117,0
112,11
112,11
112,11
115,11
116,64
113,103
112,103
112,103
115,103
115,103
115,103
112,103
114,192
114,241
114,241
115,241
114,241
115,0
114,12
114,192
115,242
111,242
113,242
113,242
113,242
114,64
117,99
113,128
117,126
112,126
115,157
116,157
117,64
118,192
119,128
117,0
117,44
121,44
119,0
118,64
119,192
121,200
124,0
125,64
127,192
126,0
128,6
130,192
129,209
132,209
131,209
133,209
133,0
133,8
137,8
136,8
137,8
138,64
138,124
139,124
137,124
137,124
137,124
133,232
133,64
133,192
133,216
134,216
131,128
131,129
133,250
129,250
130,250
125,250
126,250
123,250
123,115
125,115
119,115
122,115
121,115
119,115
117,115
119,115
117,115
118,115
117,115
120,192
116,252
115,64
117,90
117,90
119,90
118,90
117,90
119,90
113,10
114,10
114,10
115,0
113,4
117,192
115,252
113,8
114,8
116,8
117,8
119,64
121,192
116,238
114,238
112,238
116,238
114,0
115,64
115,92
116,128
118,139
116,139
116,139
114,0
113,10
115,10
116,128
119,179
116,64
118,104
115,104
114,104
114,128
115,184
120,220
114,64
118,192
114,210
117,210
116,39
114,192
113,243
111,243
111,243
107,243
104,243
102,243
103,243
107,243
107,243
112,243
122,192
138,200
154,200
175,133
203,128
228,128
233,140
233,192
233,255
233,192
233,213
233,213
233,64
233,115
233,115
233,115
233,115
228,192
198,255
171,243
145,243
123,243
105,0
87,64
76,70
62,163
60,0
55,0
54,48
57,0
61,0
68,128
69,143
77,143
82,2
87,2
95,86
99,86
105,86
105,86
107,86
111,86
113,86
115,64
114,64
117,113
118,113
123,113
122,113
117,64
118,116
116,116
118,116
120,116
122,64
119,64
119,118
116,64
120,115
119,64
120,118
120,118
122,118
119,118
120,118
127,64
121,64
122,64
128,121
131,128
124,64
126,124
128,124
131,124
127,124
129,124
132,124
132,124
131,124
132,124
131,124
134,192
135,225
137,225
136,225
139,64
141,64
141,68
142,68
143,0
144,19
144,192
147,224
148,176
153,176
153,176
153,176
152,176
152,128
158,230
158,64
159,107
157,107
163,226
164,128
162,157
164,157
167,157
168,192
169,248
170,0
171,36
173,36
177,36
170,36
176,192
178,246
179,246
178,128
177,157
181,157
185,201
179,201
185,201
183,128
184,128
182,183
184,183
187,183
186,183
189,183
188,183
186,183
188,183
186,183
186,128
184,185
184,185
182,185
185,185
180,185
183,128
181,182
182,182
181,182
182,128
179,128
173,179
175,179
172,179
172,179
175,128
172,128
168,128
166,167
167,167
163,167
163,167
164,167
164,167
161,0
155,16
158,129
156,246
156,246
157,28
148,28
150,64
151,72
145,192
150,211
147,211
146,211
142,211
144,211
143,211
141,211
139,211
138,0
135,16
136,16
135,16
135,16
135,192
130,211
131,211
134,211
129,211
128,128
129,159
130,42
127,42
129,251
128,251
127,251
126,192
129,195
124,14
120,14
127,245
122,245
123,245
125,192
119,0
119,5
118,5
120,5
122,5
122,5
121,5
118,5
116,5
120,5
119,5
121,64
121,121
120,64
121,120
120,120
120,120
118,119
119,119
119,119
120,119
118,64
120,64
118,120
118,64
120,118
115,118
116,118
116,118
114,118
