Sent,Recv
113,0
111,59
114,0
114,60
109,0
110,57
113,57
112,57
113,57
111,57
114,57
114,57
113,57
115,57
114,57
111,57
114,57
111,0
115,58
113,58
113,58
112,0
115,59
113,59
112,59
112,59
114,0
114,60
114,0
114,60
117,60
112,0
112,0
112,59
115,59
116,59
113,0
112,59
112,59
115,59
115,59
115,0
112,60
114,59
114,59
114,59
115,59
114,59
115,59
114,59
114,0
115,60
111,60
113,60
113,60
113,60
114,0
117,60
113,60
117,60
112,60
115,59
116,59
117,59
118,59
119,59
117,59
117,59
121,59
119,59
118,59
119,0
121,0
124,63
125,63
127,63
126,67
128,67
130,67
129,68
132,68
131,68
133,64
133,70
133,70
137,70
136,64
137,71
138,72
138,72
139,72
137,72
137,64
137,72
133,64
133,70
133,64
133,70
134,70
131,70
131,70
133,70
129,64
130,67
125,64
126,64
123,66
123,64
125,64
119,64
122,64
121,64
119,64
117,63
119,63
117,63
118,63
117,63
120,63
116,63
115,0
117,60
117,60
119,60
118,60
117,0
119,61
113,61
114,61
114,61
115,0
113,0
117,0
115,61
113,0
114,59
116,59
117,59
119,59
121,59
116,63
114,0
112,60
116,60
114,0
115,60
115,60
116,60
118,61
116,61
116,0
114,0
113,0
115,0
116,60
119,0
116,63
118,63
115,63
114,63
114,63
115,63
120,0
114,63
118,0
114,0
117,0
116,61
114,61
113,61
111,0
111,58
107,58
104,58
102,0
103,53
107,53
107,53
112,0
122,59
138,59
154,59
175,59
203,59
228,59
233,59
233,59
233,59
233,64
233,122
233,122
233,122
233,122
233,122
233,122
233,122
228,64
198,64
171,104
145,104
123,104
105,104
87,104
76,104
62,104
60,104
55,104
54,104
57,0
61,0
68,0
69,35
77,35
82,35
87,0
95,45
99,0
105,0
105,0
107,55
111,0
113,58
115,0
114,60
117,0
118,61
123,61
122,61
117,61
118,0
116,62
118,62
120,62
122,63
119,0
119,0
116,62
120,62
119,62
120,62
120,63
122,63
119,0
120,62
127,62
121,0
122,63
128,64
131,64
124,69
126,64
128,66
131,66
127,66
129,66
132,66
132,69
131,69
132,69
131,64
134,64
135,70
137,70
136,64
139,64
141,64
141,74
142,74
143,74
144,74
144,64
147,76
148,76
153,78
153,78
153,78
152,78
152,79
158,79
158,79
159,79
157,64
163,83
164,83
162,83
164,64
167,86
168,86
169,86
170,86
171,86
173,86
177,86
170,64
176,89
178,89
179,89
178,64
177,94
181,94
185,94
179,94
185,94
183,64
184,96
182,96
184,64
187,64
186,64
189,97
188,97
186,97
188,97
186,64
186,97
184,97
184,97
182,97
185,97
180,97
183,97
181,64
182,64
181,96
182,96
179,96
173,96
175,96
172,96
172,96
175,64
172,92
168,64
166,88
167,88
163,88
163,88
164,88
164,88
161,64
155,84
158,64
156,64
156,64
157,82
148,64
150,78
151,78
145,64
150,64
147,79
146,79
142,64
144,74
143,74
141,64
139,74
138,74
135,74
136,74
135,64
135,71
135,71
130,64
131,68
134,68
129,68
128,64
129,64
130,68
127,68
129,68
128,68
127,64
126,67
129,64
124,67
120,0
127,63
122,64
123,64
125,64
119,64
119,62
118,0
120,62
122,62
122,62
121,62
118,62
116,0
120,60
119,0
121,63
121,63
120,63
121,63
120,63
120,63
118,63
119,62
119,62
120,62
118,0
120,62
118,62
118,62
120,62
115,62
116,62
116,62
114,62
117,62
120,62
118,63
119,62
120,62
121,63
118,63
121,63
118,0
117,0
117,61
115,0
117,60
118,60
120,60
121,63
116,63
119,0
116,0
119,60
118,62
115,62
120,62
117,0
117,0
116,0
117,0
119,61
118,61
119,61
119,61
121,61
117,61
115,61
120,0
117,0
120,61
119,0
118,62
119,0
122,62
122,63
118,64
118,0
120,62
116,62
119,0
118,62
119,0
116,62
115,62
114,62
116,62
117,62
117,0
122,61
120,0
116,63
119,63
117,63
117,61
118,61
119,0
117,62
120,62
116,0
118,0
123,62
118,64
121,64
118,0
119,62
118,62
117,62
116,0
119,61
116,61
119,0
120,62
118,62
117,62
119,61
117,61
119,0
114,63
117,63
114,63
115,60
120,60
119,60
116,60
115,60
112,0
116,59
122,59
118,0
116,62
118,62
114,62
117,62
118,62
117,62
119,0
118,62
119,62
116,62
119,62
120,62
115,62
116,62
120,62
117,62
120,62
116,62
120,62
117,62
118,61
120,61
116,61
115,61
116,61
118,61
114,0
118,60
116,60
119,60
112,60
116,59
114,0
115,60
117,60
117,0
117,61
117,61
117,61
115,61
118,61
118,61
118,61
118,0
118,62
121,62
117,63
117,63
116,63
115,63
115,63
116,63
118,63
119,63
119,63
117,63
121,63
121,63
120,63
120,63
123,64
123,64
120,64
124,64
125,65
124,65
127,65
125,65
131,65
132,65
130,69
133,69
128,69
132,64
135,69
134,69
138,64
141,72
136,72
137,72
139,71
142,71
137,64
140,64
142,73
135,73
136,64
137,71
136,72
137,72
135,64
130,71
134,64
131,64
133,69
128,69
127,69
128,69
128,69
126,64
121,66
124,66
120,66
122,63
118,0
121,0
118,63
116,63
120,63
118,63
116,0
120,0
116,63
117,0
117,61
115,61
117,61
115,61
115,61
118,61
114,0
111,60
119,60
120,62
115,62
112,62
115,62
115,62
115,62
113,0
116,59
116,59
112,59
117,59
119,59
115,59
114,59
115,59
116,59
112,0
115,59
114,0
119,0
115,63
118,60
113,60
116,60
116,60
113,60
115,0
117,60
114,60
112,0
115,0
113,60
114,60
114,60
111,60
111,60
114,60
112,60
107,60
112,56
109,59
105,59
102,59
104,0
102,55
106,0
105,56
111,56
119,0
135,62
152,71
176,64
197,92
225,92
233,92
233,92
233,92
233,64
233,64
233,122
233,122
233,122
233,64
233,122
233,122
220,122
194,64
166,102
142,102
121,102
99,102
82,102
71,102
65,102
55,102
52,0
55,27
55,27
60,27
63,27
69,33
71,33
79,33
84,0
87,44
91,44
100,44
101,44
103,44
107,44
111,44
106,44
109,44
111,57
116,57
114,57
116,0
112,60
113,60
116,0
115,61
116,61
115,61
116,61
116,61
118,61
118,0
114,62
113,60
119,60
120,62
116,0
115,61
119,61
121,0
123,63
121,64
120,64
120,64
122,64
122,64
121,64
128,64
128,64
127,67
124,67
128,64
129,67
129,67
132,67
131,67
133,67
133,67
134,64
131,71
135,69
135,69
135,69
142,69
143,69
144,69
143,69
146,69
145,69
147,69
145,77
150,77
150,77
149,64
153,78
154,78
159,78
158,83
158,83
160,83
161,84
162,84
161,84
164,84
164,84
164,84
169,84
170,84
167,89
171,89
174,89
175,89
176,89
174,89
173,89
174,89
177,64
178,64
180,64
180,64
178,94
176,64
178,92
179,92
178,92
177,92
179,92
177,92
177,92
178,92
176,92
177,92
176,92
173,92
174,64
177,91
171,91
168,89
168,64
170,64
169,64
168,89
169,89
161,64
165,84
166,84
160,84
160,84
158,64
156,83
156,64
158,82
158,82
152,82
155,82
150,82
152,64
147,80
146,80
145,64
149,64
143,78
139,78
141,64
137,74
136,64
137,71
134,71
134,71
132,70
132,70
131,70
125,70
129,70
125,70
123,70
125,70
124,70
122,0
124,64
119,65
120,0
119,63
120,0
120,63
116,0
119,0
117,63
113,0
112,0
116,59
115,59
115,59
114,59
115,0
116,0
111,60
111,0
111,58
113,0
115,59
111,59
107,0
108,56
110,56
110,56
110,57
111,57
110,57
113,57
109,0
109,57
111,57
107,57
111,56
110,0
110,0
113,57
109,57
114,57
109,57
107,57
110,57
107,57
108,57
110,57
110,57
108,57
111,57
111,0
112,58
110,58
112,58
105,58
108,58
107,0
109,56
108,57
109,57
112,57
109,57
110,57
108,0
109,56
109,0
110,0
111,0
112,0
109,59
110,59
106,59
108,0
110,0
110,57
109,57
110,57
109,57
111,0
109,58
108,58
109,0
103,57
109,0
101,57
105,57
109,0
109,0
106,57
107,0
111,56
107,56
113,0
108,59
109,0
111,0
108,58
106,0
108,56
108,56
106,56
108,0
107,0
110,56
108,57
108,0
108,56
108,0
109,56
106,56
106,56
110,56
107,56
105,56
109,0
109,57
105,0
108,55
109,57
109,57
109,0
105,57
108,0
107,56
107,56
109,56
111,56
111,0
110,58
108,58
108,58
109,58
108,58
108,58
109,58
108,0
106,56
107,56
109,56
108,56
108,56
109,0
107,57
109,57
108,0
105,0
110,0
107,57
104,57
105,57
106,57
108,57
107,57
107,57
109,57
108,57
108,0
108,56
109,0
103,57
107,57
103,0
107,54
107,0
109,56
110,56
108,56
106,0
108,56
106,0
107,56
109,56
106,57
109,57
109,0
105,57
109,57
109,0
107,56
106,56
106,0
106,55
108,0
105,56
108,55
105,0
107,0
108,56
112,56
105,59
110,59
108,59
109,0
108,57
109,57
108,57
111,57
108,57
111,0
108,58
110,58
109,58
112,0
115,59
112,0
113,59
112,59
115,59
113,59
115,0
119,60
122,64
126,64
120,64
125,64
124,64
124,65
127,64
127,67
128,67
127,67
126,67
126,64
131,66
129,64
129,67
130,67
131,68
130,68
127,68
130,68
130,68
127,68
127,68
127,68
126,64
124,66
122,66
121,66
117,66
119,66
114,0
114,60
117,60
116,0
116,0
112,61
109,61
111,61
111,61
110,61
112,61
108,61
109,0
106,0
109,55
108,55
106,55
107,55
107,55
107,55
111,0
107,0
107,56
103,56
105,56
106,0
106,56
109,0
106,57
109,57
107,0
107,56
107,0
107,56
110,0
102,57
103,57
106,57
107,57
108,0
108,56
106,56
109,56
109,57
107,57
109,57
107,0
106,56
108,56
107,0
107,0
110,56
102,57
104,57
104,57
106,57
106,0
104,56
105,0
105,55
111,55
109,55
104,55
103,55
100,55
97,55
98,55
95,55
95,55
91,55
93,0
97,49
103,0
113,54
123,59
145,64
164,76
192,76
218,76
233,76
233,76
233,64
233,121
233,121
233,64
233,64
233,64
233,64
233,122
233,122
215,64
187,112
164,112
133,64
110,70
92,70
78,70
64,70
54,70
49,28
46,28
45,28
53,28
52,28
58,28
60,30
67,30
71,30
73,37
81,37
85,0
88,45
93,45
101,45
101,45
105,45
105,45
107,45
105,45
108,0
109,56
107,0
110,0
110,57
108,0
107,56
107,56
110,0
111,57
109,0
110,57
112,0
112,59
114,59
114,0
110,60
116,57
112,57
115,0
114,60
113,60
111,59
115,0
113,60
118,0
120,62
116,0
119,60
118,62
119,62
122,62
121,62
126,62
122,66
126,64
125,64
128,64
126,67
128,67
129,64
129,68
133,68
134,68
135,68
138,71
139,72
137,72
140,64
139,73
142,73
142,73
148,73
146,73
147,73
151,73
146,73
147,64
154,77
154,77
156,77
154,77
158,81
163,81
162,64
162,64
162,64
163,85
161,85
167,85
169,85
165,64
168,87
168,87
169,87
172,87
168,64
174,88
175,64
173,92
170,92
173,92
177,92
170,92
175,92
173,92
177,92
174,64
176,92
176,92
178,92
174,92
174,92
170,92
175,64
170,64
170,89
170,89
167,89
169,89
170,64
167,64
163,88
164,88
165,88
159,88
159,88
162,88
159,88
158,88
160,88
156,88
155,88
157,88
150,88
148,64
149,64
148,64
144,78
142,78
147,78
142,78
139,78
141,78
138,64
136,64
136,71
132,71
134,71
136,64
132,71
129,71
128,71
127,67
126,67
125,67
127,67
121,67
125,67
122,67
122,64
119,64
123,64
122,64
121,64
115,0
119,60
118,62
114,62
116,0
116,0
116,61
115,61
115,61
117,0
116,61
108,61
113,61
113,0
109,0
113,57
115,57
110,0
113,57
110,57
110,0
114,57
110,57
112,57
107,0
115,56
112,56
110,56
112,0
108,59
113,59
110,59
110,59
110,59
109,59
112,59
111,0
112,58
110,58
111,58
110,58
115,58
107,58
113,58
113,0
109,59
115,0
112,60
112,60
110,0
110,57
110,57
111,57
113,57
111,57
109,57
112,57
112,0
112,59
112,59
110,59
109,59
109,59
107,59
111,59
110,0
110,57
105,57
108,57
113,57
109,0
111,57
108,57
114,57
111,57
111,0
115,0
114,60
110,60
110,60
110,57
112,57
111,57
110,57
114,57
111,57
116,57
111,57
115,57
112,0
113,59
110,59
110,0
112,0
113,59
111,59
109,59
109,59
109,0
108,57
112,57
114,57
111,0
107,58
111,58
111,58
116,58
109,58
111,58
115,58
113,0
113,59
112,59
112,59
113,59
110,0
114,57
109,0
112,57
112,59
111,59
112,59
111,0
110,58
111,58
110,58
113,58
110,58
113,58
110,58
111,0
111,58
115,0
113,60
112,0
113,59
108,59
112,59
116,59
113,0
113,59
113,59
114,59
109,59
109,59
113,59
111,59
115,59
112,59
109,59
110,0
107,57
112,57
112,57
112,57
115,57
115,0
112,60
109,59
114,59
114,59
113,59
115,59
111,59
117,59
111,59
114,0
110,0
111,57
116,57
113,0
115,0
114,0
113,60
116,60
113,60
110,59
112,59
114,59
114,59
110,0
112,57
113,57
113,57
111,57
113,0
113,0
116,59
116,0
114,0
114,60
115,60
114,0
114,60
115,60
116,60
115,61
118,61
120,61
116,61
120,0
121,63
123,63
