Sent,Recv
113,128
111,64
114,64
114,64
109,113
110,64
113,110
112,110
113,64
111,112
114,64
114,113
113,64
115,112
114,112
111,113
114,113
111,113
115,113
113,113
113,113
112,113
115,113
113,113
112,64
112,111
114,64
114,64
114,64
114,113
117,64
112,116
112,64
112,112
115,64
116,64
113,64
112,112
112,111
115,64
115,114
115,114
112,64
114,64
114,113
114,113
115,113
114,113
115,64
114,115
114,115
115,115
111,64
113,110
113,110
113,110
114,110
117,64
113,116
117,64
112,116
115,116
116,64
117,115
118,115
119,64
117,64
117,64
121,116
119,116
118,116
119,64
121,64
124,120
125,120
127,120
126,120
128,120
130,120
129,120
132,120
131,120
133,128
133,128
133,132
137,132
136,132
137,135
138,128
138,137
139,137
137,137
137,137
137,128
133,137
133,128
133,132
133,132
134,128
131,133
131,133
133,133
129,133
130,133
125,133
126,133
123,133
123,133
125,133
119,133
122,64
121,121
119,121
117,121
119,64
117,64
118,116
117,116
120,116
116,64
115,115
117,115
117,115
119,115
118,115
117,115
119,64
113,119
114,119
114,64
115,113
113,64
117,64
115,116
113,116
114,116
116,116
117,116
119,116
121,64
116,64
114,96
112,113
116,64
114,64
115,113
115,64
116,114
118,64
116,64
116,64
114,115
113,115
115,115
116,115
119,64
116,119
118,119
115,64
114,114
114,64
115,113
120,113
114,113
118,113
114,113
117,64
116,116
114,116
113,116
111,116
111,116
107,64
104,64
102,103
103,103
107,103
107,64
112,106
122,64
138,128
154,137
175,128
203,174
228,192
233,227
233,227
233,227
233,192
233,231
233,192
233,192
233,232
233,232
233,232
233,232
228,232
198,232
171,232
145,232
123,232
105,232
87,64
76,87
62,0
60,0
55,59
54,59
57,59
61,59
68,59
69,59
77,64
82,76
87,64
95,86
99,86
105,64
105,103
107,103
111,103
113,64
115,64
114,114
117,114
118,114
123,114
122,114
117,114
118,64
116,64
118,115
120,115
122,115
119,64
119,119
116,64
120,115
119,115
120,64
120,119
122,64
119,121
120,64
127,119
121,64
122,64
128,121
131,128
124,131
126,64
128,126
131,126
127,126
129,128
132,128
132,131
131,128
132,128
131,131
134,131
135,133
137,133
136,133
139,128
141,138
141,138
142,128
143,141
144,128
144,143
147,143
148,143
153,143
153,143
153,143
152,128
152,151
158,151
158,157
159,157
157,128
163,156
164,156
162,156
164,156
167,156
168,128
169,167
170,167
171,167
173,128
177,172
170,128
176,169
178,169
179,128
178,128
177,177
181,128
185,180
179,180
185,180
183,180
184,180
182,180
184,128
187,183
186,183
189,183
188,183
186,183
188,183
186,183
186,128
184,185
184,185
182,128
185,181
180,181
183,181
181,181
182,181
181,181
182,181
179,181
173,181
175,181
172,128
172,171
175,171
172,174
168,174
166,128
167,128
163,128
163,128
164,162
164,162
161,162
155,162
158,128
156,128
156,156
157,156
148,128
150,147
151,147
145,128
150,144
147,144
146,146
142,146
144,146
143,128
141,142
139,140
138,140
135,140
136,134
135,134
135,134
135,134
130,134
131,128
134,128
129,128
128,128
129,128
130,128
127,129
129,126
128,126
127,64
126,126
129,126
124,126
120,126
127,126
122,126
123,126
125,126
119,126
119,64
118,64
120,117
122,64
122,64
121,64
118,120
116,120
120,64
119,119
121,119
121,64
120,120
121,119
120,119
120,119
118,64
119,117
119,64
120,64
118,119
120,119
118,64
118,64
120,64
115,64
116,115
116,64
114,115
117,64
120,116
118,116
119,116
120,116
121,64
118,120
121,120
118,120
117,120
117,64
115,116
117,116
118,116
120,116
121,64
116,120
119,120
116,64
119,64
118,64
115,64
120,115
117,64
117,116
116,116
117,116
119,116
118,116
119,116
119,116
121,116
117,64
115,64
120,64
117,64
120,116
119,64
118,64
119,64
122,64
122,64
118,64
118,64
120,117
116,117
119,64
118,64
119,118
116,118
115,118
114,118
116,64
117,115
117,116
122,116
120,116
116,116
119,116
117,116
117,116
118,64
119,118
117,118
120,118
116,118
118,118
123,118
118,64
121,118
118,118
119,64
118,119
117,119
116,119
119,64
116,118
119,118
120,118
118,118
117,118
119,64
117,118
119,116
114,116
117,64
114,116
115,64
120,115
119,115
116,115
115,64
112,64
116,112
122,112
118,112
116,112
118,112
114,112
117,64
118,64
117,64
119,64
118,119
119,119
116,64
119,115
120,115
115,115
116,115
120,115
117,115
120,115
116,64
120,115
117,115
118,115
120,115
116,115
115,115
116,115
118,115
114,115
118,115
116,115
119,64
112,118
116,96
114,115
115,115
117,115
117,64
117,64
117,116
117,116
115,116
118,116
118,116
118,116
118,116
118,116
121,64
117,120
117,120
116,120
115,120
115,64
116,115
118,115
119,115
119,115
117,64
121,116
121,116
120,116
120,64
123,64
123,64
120,64
124,119
125,119
124,119
127,119
125,119
131,119
132,128
130,128
133,129
128,128
132,127
135,128
134,135
138,135
141,128
136,128
137,135
139,136
142,136
137,141
140,141
142,141
135,141
136,141
137,141
136,141
137,141
135,141
130,141
134,128
131,133
133,130
128,128
127,127
128,127
128,128
126,127
121,127
124,127
120,64
122,119
118,119
121,64
118,120
116,120
120,120
118,120
116,64
120,64
116,119
117,119
117,119
115,64
117,114
115,114
115,114
118,114
114,64
111,113
119,113
120,113
115,113
112,113
115,113
115,64
115,64
113,114
116,64
116,115
112,115
117,115
119,115
115,64
114,114
115,64
116,114
112,64
115,111
114,111
119,111
115,111
118,111
113,117
116,117
116,117
113,117
115,64
117,114
114,114
112,64
115,112
113,112
114,112
114,112
111,112
111,112
114,112
112,113
107,113
112,64
109,111
105,64
102,104
104,64
102,103
106,103
105,64
111,104
119,64
135,119
152,119
176,119
197,119
225,119
233,119
233,119
233,192
233,232
233,232
233,232
233,231
233,192
233,232
233,232
233,232
220,231
194,231
166,231
142,231
121,231
99,231
82,64
71,64
65,70
55,0
52,55
55,55
55,55
60,55
63,0
69,64
71,68
79,68
84,78
87,78
91,78
100,78
101,78
103,78
107,64
111,106
106,110
109,110
111,64
116,110
114,64
116,64
112,115
113,115
116,115
115,64
116,115
115,115
116,64
116,115
118,115
118,115
114,115
113,115
119,115
120,64
116,64
115,115
119,115
121,64
123,120
121,64
120,64
120,120
122,64
122,121
121,121
128,128
128,127
