Sent,Recv
113,128
111,0
114,37
114,37
109,37
110,0
113,37
112,37
113,0
111,37
114,37
114,37
113,0
115,37
114,0
111,37
114,37
111,37
115,37
113,0
113,37
112,37
115,37
113,37
112,37
112,37
114,0
114,37
114,0
114,37
117,37
112,37
112,37
112,37
115,37
116,0
113,0
112,37
112,37
115,37
115,37
115,37
112,37
114,37
114,0
114,0
115,37
114,37
115,37
114,37
114,37
115,37
111,37
113,37
113,0
113,37
114,37
117,0
113,37
117,37
112,0
115,37
116,37
117,37
118,37
119,0
117,38
117,38
121,38
119,38
118,38
119,38
121,0
124,0
125,37
127,37
126,0
128,37
130,0
129,38
132,38
131,0
133,38
133,38
133,38
137,38
136,38
137,38
138,38
138,0
139,38
137,38
137,38
137,38
133,38
133,38
133,38
133,38
134,38
131,38
131,38
133,38
129,38
130,38
125,38
126,38
123,38
123,0
125,38
119,0
122,37
121,37
119,37
117,0
119,37
117,37
118,37
117,37
120,37
116,37
115,37
117,0
117,38
119,38
118,38
117,38
119,0
113,37
114,37
114,37
115,0
113,37
117,37
115,37
113,0
114,37
116,37
117,0
119,0
121,0
116,37
114,37
112,0
116,37
114,37
115,37
115,37
116,37
118,37
116,37
116,37
114,0
113,0
115,37
116,0
119,0
116,37
118,37
115,37
114,0
114,0
115,37
120,37
114,37
118,37
114,37
117,0
116,37
114,37
113,37
111,37
111,37
107,37
104,37
102,37
103,37
107,37
107,37
112,0
122,37
138,37
154,0
175,38
203,38
228,38
233,0
233,38
233,38
233,38
233,38
233,38
233,0
233,38
233,38
233,0
233,38
228,38
198,38
171,38
145,38
123,0
105,37
87,0
76,37
62,37
60,37
55,37
54,37
57,37
61,37
68,37
69,37
77,37
82,37
87,37
95,37
99,37
105,37
105,37
107,37
111,37
113,0
115,37
114,37
117,37
118,0
123,37
122,37
117,37
118,0
116,37
118,37
120,37
122,0
119,37
119,37
116,37
120,37
119,37
120,37
120,0
122,37
119,37
120,37
127,37
121,37
122,37
128,0
131,38
124,38
126,38
128,38
131,38
127,0
129,38
132,38
132,38
131,38
132,38
131,38
134,0
135,38
137,0
136,38
139,38
141,38
141,38
142,38
143,38
144,38
144,0
147,38
148,38
153,38
153,38
153,38
152,38
152,0
158,38
158,38
159,0
157,0
163,38
164,38
162,38
164,38
167,38
168,38
169,38
170,38
171,0
173,38
177,38
170,38
176,38
178,38
179,38
178,0
177,38
181,38
185,38
179,38
185,0
183,38
184,0
182,38
184,38
187,38
186,38
189,38
188,0
186,0
188,0
186,38
186,38
184,38
184,0
182,38
185,38
180,0
183,38
181,38
182,38
181,38
182,38
179,38
173,38
175,38
172,38
172,38
175,38
172,38
168,38
166,38
167,38
163,0
163,38
164,38
164,38
161,38
155,38
158,38
156,38
156,38
157,38
148,38
150,0
151,0
145,38
150,38
147,38
146,38
142,38
144,38
143,38
141,38
139,0
138,38
135,38
136,38
135,38
135,38
135,38
130,38
131,38
134,38
129,0
128,38
129,0
130,38
127,0
129,37
128,37
127,37
126,0
129,37
124,37
120,37
127,37
122,0
123,38
125,38
119,38
119,38
118,38
120,38
122,38
122,38
121,38
118,0
116,37
120,0
119,37
121,37
121,0
120,0
121,37
120,0
120,37
118,0
119,37
119,0
120,0
118,0
120,0
118,37
118,37
120,37
115,37
116,0
116,0
114,37
117,0
120,0
118,37
119,37
120,37
121,37
118,37
121,0
118,0
117,37
117,0
115,37
117,0
118,37
120,0
121,37
116,37
119,37
116,0
119,0
118,37
115,37
120,37
117,37
117,37
116,37
117,0
119,37
118,0
119,37
119,0
121,37
117,37
115,0
120,0
117,0
120,37
119,37
118,37
119,37
122,37
122,37
118,37
118,0
120,37
116,0
119,37
118,37
119,0
116,37
115,37
114,37
116,0
117,37
117,37
122,37
120,37
116,37
119,37
117,37
117,37
118,37
119,37
117,0
120,37
116,37
118,37
123,37
118,37
121,37
118,37
119,37
118,37
117,0
116,37
119,37
116,37
119,37
120,37
118,37
117,37
119,37
117,0
119,37
114,37
117,37
114,37
115,37
120,37
119,37
116,37
115,0
112,37
116,37
122,37
118,37
116,37
118,37
114,0
117,37
118,0
117,37
119,0
118,37
119,37
116,37
119,0
120,37
115,37
116,37
120,37
117,37
120,37
116,37
120,37
117,37
118,37
120,37
116,0
115,37
116,37
118,0
114,37
118,37
116,37
119,37
112,37
116,37
114,0
115,37
117,0
117,37
117,37
117,0
117,37
115,0
118,37
118,0
118,37
118,37
118,37
121,37
117,37
117,0
116,37
115,37
115,37
116,37
118,37
119,37
119,37
117,37
121,37
121,37
120,37
120,0
123,37
123,0
120,37
124,0
125,38
124,38
127,38
125,38
131,38
132,38
130,38
133,38
128,0
132,37
135,37
134,37
138,37
141,37
136,37
137,37
139,0
142,37
137,37
140,37
142,37
135,37
136,37
137,37
136,37
137,37
135,37
130,37
134,37
131,37
133,37
128,37
127,0
128,37
128,37
126,37
121,37
124,37
120,0
122,0
118,37
121,37
118,37
116,37
120,37
118,37
116,37
120,37
116,37
117,37
117,37
115,37
117,37
115,37
